   [paribhāṣā]	[pariBAzA]
   ghana-hasta-saṃjñam/	Gana-hasta--saMjQam/
   Lil_7c/ dhānya-ādike yat ghana-hasta-mānam śāstra-uditā māgadha-khārikā	Lit-_7c/ DAnya-Adike yat Gana-hasta-mAnam SAstra--uditA mAgaDa--KArikA
   sā//[indravajrā]	sA//[indra-vajrA]
   Lil_8a/ droṇas tu khāryās khalu %ṣoḍaśa-aṃśas @syāt āḍhakas	Lit-_8a/ droNaH tu KAryAH Kalu %zoxaSa--aMSaH @syAt AXakas
   droṇa-%caturtha-bhāgas/	droNa--%-caturTa-BAga-s/
   Lil_8c/ prasthas %caturtha-aṃśas iha āḍhakasya prastha-#aṅghris ādyais	Lit-_8c/ prasTaH %caturTa-aMSaH iha AXakasya prasTa-#aFGriH AdyEH-
   kuḍavas pradiṣṭas//[indravajrā]	kuxavaH pradizwa-s//[indra-vajrA]
   Lil_8ex.a/ #pāda-ūna-gadyāṇaka-tulya-ṭaṅkais %dvi-%sapta-tulyais kathitas	Lit-_8ex.a/ #pAda--Una--gadyANaka-tulya-waFkEH %dvi-%-sapta--tulyEH kaTitaH-
   atra seras/	atra seras/
   Lil_8ex.c/ maṇa-abhidhānam #kha-#yugais ca serais dhānya-ādi-taulyeṣu	Lit-_8ex.c/ maNa--aBiDAnam #Ka-#yugEH ca serEH DAnya--Adi-tOlyezu
   turuṣka-saṃjñā//[upajāti]	turuzka--saMjQA-//[upajAti]
   Lil_8p1/ śeṣā kāla-ādi-paribhāṣā lokatas prasiddhā jñeyā/ iti paribhāṣā//	Lit-_8p1/ SezA kAla--Adi-pariBAzA lokataH prasidDAH jQeyA/ iti pariBAzA//
   [parikarma-aṣṭaka]	[parikarma--azwaka]
   Lil_8p2/ atha saṃkhyā-sthāna-nirṇayas/	Lit-_8p2/ aTa saMKyA--sTAna--nirNaya-s/
   Lil_9a/ līlā-gala-lulat-lola-kāla-vyāla-vilāsine/	Lit-_9a/ lIlA-gala-lu-lat--lola--kAla--vyAla-vilAsine/
   Lil_9c/ gaṇeśāya namas nīla-kamala-amala-kāntaye//[śloka]	Lit-_9c/ gaNeSAya namaH nIla--kamala--amala-kAntaye//[Sloka]
   Lil_10a/ %eka-%daśa-%śata-%sahasra-%ayuta-%lakṣa-%prayuta-%koṭayas	Lit-_10a/ %eka-%da-Sa-%-Sata-%-sahasra--%ayuta-%-lakza-%-prayuta--%kowayas
   kramaśas/	kramaSas/
   Lil_10c/ %arbudam %abjam %kharva-%nikharva-%mahāpadma-%śaṅkavas	Lit-_10c/ %arbudam %abjam %Karva-%-niKarva-%-mahApadma-%-SaFkavas
   tasmāt//[gīti]	tasmAt-//[gIti]
   Lil_11a/ %jaladhis ca %antyam %madhyam %parārdham iti %daśa-guṇa-uttarās	Lin-_11a/ %jalaDiH ca %antyam %maDyam %parArDam iti %daSa-guNa--uttarAs
   saṃjñās/	saMjQA-as/
   Lil_11c/ saṃkhyāyās sthānānām vyavahāra-artham kṛtās pūrvais//[āryā]	Lit-_11c/ saMKyAyAH sTAnAnAm vyavahAra--arTam kRtAH pUrvEs//[AryA]
   Lil_11p/ iti saṃkhyā-sthāna-nirṇayas// atha saṃkalita-vyavakalite/ atha	Lit-_11p/ iti saMKyA--sTAna--nirNayas// aTa saMkalita--vyavakalite/ aTa
   saṃkalita-vyavakalitayos karaṇa-sūtram vṛtta-%ardham/	saMkalita--vyavakalitayoH karaNa-sUtram vRtta--%arDam/
   Lil_12/ kāryas kramāt utkramatas atha vā aṅka-yogas yathā-sthānakam	Lit-_12/ kAryaH kramAt utkramataH aTa vE aFka-yogaH yaTA--sTAnakam
   antaram vā/[indravajrā-ab; cd=14a]	antaram vA/[indra-vajra-a-ab; cd=14a]
   Lil_12p/ atra uddeśakas/	Lit-_12p/ atra uddeSakas/
   Lil_13a/ aye bāle līlāvati mati-mati @brūhi sahitān	Lit-_13a/ aye bAle lIlAvati mati-mati @brUhi sahitAn
   %dvi-%pañca-%dvātriṃśat-%trinavati-%śata-%aṣṭādaśa %daśa/	%dvi-%paQca-%-dvAtriMSat-%trinavati-%-Sata-%azwAdaSa %daSa/
   Lil_13c/ %śata-upetān etān %ayuta-viyutān ca api @vada me yadi vyakte	Lit-_13c/ %Sata--upetAn etAn %ayuta--viyutAn ca api @vada me yadi vyakte
   yukti-vyavakalana-mārge @asi kuśalā//[śikhariṇī]	yukti-vyavakalana--mArge @asi kuSala-a//[-SiKariNI]
   Lil_13p/ nyāsas/ 2/ 5/ 32/ 193/ 18/ 10/ 100/ saṃyojanāt jātam/ 360/	Lit-_13p/ nyAsas/ 2/ 5/ 32/ 193/ 18/ 10/ 100/ saMyojanAt jAtam/ 360/
   %ayutāt 10000 śodhite jātam 9640/ iti saṃkalita-vyavakalite// atha	%ayutAt 10000 SoDite jAtam 9640/ iti saMkalita--vyavakalite// aTa
   guṇana-prakāras/ guṇane karaṇa-sūtram sa-%ardha-vṛtta-%dvayam/	guNana--prakAras/ guNane karaNa-sUtram sa-%arDa--vRtta--%dvayam/
   Lil_14a/ guṇya-antyam aṅkam guṇakena @hanyāt utsāritena evam	Lit-_14a/ guNya-antyam aFkam guNakena @hanyAt utsAritena evam
   upāntima-ādīn//[indravajrā-cd; ab=12]	upAntim-a-a-AdIn-//[indra-vajrA-cd; ab=12]
   Lil_14c/ guṇyas tu adhas adhas guṇa-khaṇḍa-tulyas tais khaṇḍakais	Lit-_14c/ guNyaH tu aDas aDas guNa--KaNxa--tulyaH tEH KaNxakEH-
   saṃguṇitas yutas vā/	saMguNitaH yutaH vA/
   Lil_15a/ bhaktas guṇas @śudhyati yena tena labdhyā ca guṇyas guṇitas	Lin-_15a/ BaktaH guNaH @SuDyati yena tena labDyA ca guNyaH guNitas
   phalam vā//[indravajrā]	Palam vA//[-indra-vajrA]
   Lil_15c/ dvidhā @bhavet rūpa-vibhāgas evam sthānais pṛthak vā guṇitas	Lit-_15c/ dviDA @Bavet rUpa-viBAgaH evam sTAnEH pRTak vA guNitas
   sametas/	sametas/
   Lil_16/ iṣṭa-ūna-yuktena guṇena nighnas abhīṣṭa-ghna-guṇya-anvita-varjitas	Lit-_16/ izwa--Una--yuktena guNena niGnaH aBIzwa-Gna--guNya-anvita--varjita-H-
   vā//[upajāti]	vA//[upajAti]
   Lil_16p/ atra uddeśakas/	Lit-_16p/ atra uddeSakas/
   Lil_17a/ bāle bāla-kuraṅga-lola-nayane līlāvati @procyatām	Lit-_17a/ bAle bAla--kuraFga--lola--nayane lIlAvati @procyatAm
   %pañca-%tri-%eka-mitās #divākara-guṇās aṅkās kati @syus yadi/	%paQca-%tri-%eka--mitAH #divAkara--guNAH aFkAH kati @syuH yadi/
   Lil_17c/ rūpa-sthāna-vibhāga-khaṇḍa-guṇane kalpā @asi kalyāṇini chinnās	Lit-_17c/ rUpa--sTAna--viBAga---KaNxa--guNane kalpAH @asi kalyANini CinnAs
   tena guṇena te ca guṇitās jātās kati @syus @vada//[śārdūlavikrīḍita]	tena guNena te ca guNitAH jAtAH kati @syuH @vada//[SArdUla-vikrIxita]
   Lil_17p/ nyāsas/ guṇyas 135/ guṇakas 12/ guṇya-antyam aṅkam guṇakena	Lit-_17p/ nyAsas/ guNyaH 135/ guNakaH 12/ guNya-antyam aFkam guNakena
   @hanyāt iti kṛte jātam 1620// atha vā guṇa-rūpa-vibhāge kṛte khaṇḍe 4/ 8/	@hanyAt iti kRte jAtam 1620// aTa vA guNa---rUpa-viBAge kRte KaNxe 4/ 8/
   ābhyām pṛthak guṇye guṇite yute ca jātam tat eva 1620// atha vā guṇakas	AByAm pRTak guNye guNite yute ca jAtam tat eva 1620// aTa vA guNakas
   %tribhis bhaktas labdham 4/ ebhis %tribhis ca guṇye guṇite jātam tat eva	%triBiH BaktaH labDam 4/ eBiH %triBiH ca guNye guNite jAtam tat eva
   1620// atha vā sthāna-vibhāge kṛte khaṇḍe 1/ 2/ ābhyām pṛthak guṇye	1620// aTa vA sTAna--viBAge kRte KaNxe 1/ 2/ AByAm pRTak guNye
   guṇite yathā-sthāna-yute ca jātam tat eva 1620// atha vā %dvi-ūnena	guNite yaTA--sTAna--yute ca jAtam tat eva 1620// aTa vA %dvi-Unena
   guṇakena 10 %dvābhyām 2 ca pṛthak guṇye guṇite yute ca jātam tat eva	guNakena 10 %dvAByAm 2 ca pRTak guNye guNite yute ca jAtam tat eva
   1620// atha vā %aṣṭa-yutena guṇakena 20 guṇye guṇite	1620// aTa vA %azwa--yutena guNakena 20 guNye guNite
   %aṣṭa-guṇita-guṇya-hīne ca jātam tat eva 1620// iti guṇana-prakāras// atha	%azwa--guNita--guNya--hIne ca jAtam tat eva 1620// iti guNana--prakAras// aTa
   bhāga-hāras/ bhāga-hāre karaṇa-sūtram vṛttam/	BAga--hAras/ BAga-hAre karaNa-sUtram vRttam/
   Lil_18a/ bhājyāt haras @śudhyati yad-guṇas @syāt antyāt phalam tat khalu	Lit-_18a/ BAjyAt haraH @SuDyati yat--guNaH @syAt antyAt Palam tat Kalu
   bhāga-hāre/	BAga-hAre/
   Lil_18c/ samena kena api @apavartya hāra-bhājyau @bhajet vā sati saṃbhave	Lit-_18c/ samena kena api @apavartya hAra-BAjyO @Bajet vA sati saMBave
   tu//[upajāti]	tu//[upajAti]
   Lil_18p/ atra pūrva-udāharaṇe guṇita-aṅkānām sva-guṇa-chedānām	Lit-_18p/ atra pUrva--udAharaNe guNita--aFkAnAm sva--guNa--CedAnAm
   bhāga-hāra-artham nyāsas/ bhājyas 1620/ bhājakas 12/ bhajanāt labdhas	BAga-hAra--arTam nyAsas/ BAjyaH 1620/ BAjakaH 12/ BajanAt labDas
   guṇyas 135// atha vā bhājya-hārau %tribhis apavartitau 540_4/ %caturbhis	guNyaH 135// aTa vA BAjya--hArO %triBiH apavartitO 540_4/ %caturBiH-
   vā 405_3/ sva-sva-hāreṇa hṛte phale tat eva 135// iti bhāga-hāras// atha	vA 405_3/ sva--sva--hAreNa hRte Pale tat eva 135// iti BAga-hAras// aTa
   vargas/ varge karaṇa-sūtram vṛtta-%dvayam/	vargas/ varge karaNa-sUtram vRtta-%-dvayam/
   Lil_19a/ sama-%dvi-ghātas kṛtis @ucyate atha sthāpyas antya-vargas	Lit-_19a/ sama-%dvi-GAtaH kRtiH @ucyate aTa sTApyaH antya-varga-s
   %dvi-guṇa-antya-nighnas/	%dvi-guNa-antya--niGnas/
   Lil_19c/ sva-sva-upariṣṭāt ca tathā apare aṅkās @tyaktvā antyam @utsārya	Lit-_19c/ sva--sva-uparizwAt ca taTA apare aFkAH @tyaktvA antyam @utsArya
   punar ca rāśim//[upajāti]	punar ca rASim//[upajAti]
   Lil_20a/ khaṇḍa-%dvayasya abhihatis 5dvi-nighnī	Lit-_20a/ KaNxa-%dvayasya aBihatiH 5dvi-niGnI
   tad-khaṇḍa-varga-aikya-yutā kṛtis vā/	tad--KaNxa-varga--Ekya--yutA kRtiH vA/
   Lil_20c/ iṣṭa-ūna-yuj-rāśi-vadhas kṛtis @syāt iṣṭasya vargeṇa samanvitas	Lit-_20c/ izwa--Un-a-yuj-rASi--vaDaH kRtiH @syAt izwasya vargeNa samanvitas
   vā//[indravajrā]	vA//[indra-vajrA]
   Lil_20p/ atra uddeśakas/	Lit-_20p/ atra uddeSakas/
   Lil_21a/ sakhe %navānām ca %caturdaśānām @brūhi %tri-hīnasya	Lit-_21a/ saKe %navAnAm ca %caturdaSAnAm @brUhi %tri--hInasya
   %śata-%trayasya/	%Sata-%-trayasya/
   Lil_21c/ %pañca-uttarasya api %ayutasya vargam @jānāsi ced	Lit-_21c/ %paQca--uttarasya api %a-yutasya vargam @jAnAsi ced-
   varga-vidhāna-mārgam//[upajāti]	varga--viDAna--mArgam//[upajAti]
   Lil_21p/ nyāsas 9/ 14/ 297/ 10005/ eṣām yathā-ukta-karaṇena jātās vargās	Lit-_21p/ nyAsaH 9/ 14/ 297/ 10005/ ezAm yaTA--ukta-karaNena jAtAH vargAH-
   81/ 196/ 88209/ 100100025// atha vā %navānām khaṇḍe 4/ 5/ anayos āhatis	81/ 196/ 88209/ 100100025// aTa vA %navAnAm KaNxe 4/ 5/ anayoH Ahatis
   20/ %dvi-ghnī 40/ tad-khaṇḍa-varga-aikyena 41 yutā jātā sā eva kṛtis 81//	20/ %dvi-GnI 40/ tad--KaNxa-varga-Ekyena 41 yutA jAtA sA eva kRtiH 81//
   atha vā %caturdaśānām khaṇḍe 6/ 8/ anayos āhatis 48/ %dvi-ghnī 96/	aTa vA %caturdaSAnAm KaNxe 6/ 8/ anayoH AhatiH 48/ %dvi-GnI 96/
   tad-khaṇḍa-vargau 36/ 64/ anayos aikyena 100 yutā jātā sā eva kṛtis	tad--KaNxa-vargO 36/ 64/ anayoH Ekyena 100 yutA jAtA sA eva kRti-s
   196// atha vā khaṇḍe 4/ 10/ tathā api sā eva kṛtis 196// atha vā rāśis	196// aTa vA KaNxe 4/ 10/ taTA api sA eva kRtiH 196// aTa vA rASis
   297/ ayam %tribhis ūnas pṛthak yutas ca 294/ 300/ anayos ghātas 88200	297/ ayam %triBiH UnaH pRTak yutaH ca 294/ 300/ anayoH GAtaH 88200
   %tri-varga-9-yutas jātas vargas sas eva 88209// evam sarvatra/ iti	%tri-varga--9-yutaH jAtaH vargaH saH eva 88209// evam sarvatra/ iti
   vargas// atha varga-mūlam/ varga-mūle karaṇa-sūtram vṛttam/	vargas// aTa varga--mUlam/ varga--mUle karaNa-sUtram vRttam/
   Lil_22a/ @tyaktvā antyāt viṣamāt kṛtim @%dvi-guṇayet mūlam same tad-hṛte	Lit-_22a/ @tyaktvA antyAt vizamAt kRtim @%dvi-guNayet mUlam same tad--hRte
   @tyaktvā labdha-kṛtim tad-ādya-viṣamāt labdham %dvi-nighnam @nyaset/	@tyaktvA labDa-kRtim tad--Adya--vizamAt labDam %dvi--niGnam @nyaset/
   Lil_22c/ paṅktyām paṅkti-hṛte same anya-viṣamāt @tyaktvā āpta-vargam	Lit-_22c/ paFktyAm paFkti--hRte same anya--vizamAt @tyaktvA Apta-vargam
   phalam paṅktyām tat %dvi-guṇam @nyaset iti muhus paṅktes #dalam @syāt	Palam paFktyAm tat %dvi-guNam @nyaset iti muhur paFkteH #dalam @syAt-
   padam//[śārdūlavikrīḍita]	padam//[-SArdUla-vikrIxita]
   Lil_22p/ atra uddeśakas/	Lit-_22p/ atra uddeSakas/
   Lil_23a/ mūlam %caturṇām ca tathā %navānām pūrvam kṛtānām ca sakhe	Lit-_23a/ mUlam %caturNAm ca taTA %navAnAm pUrvam kRtAnAm ca saKe
   kṛtīnām/	kRtInAm-/
   Lil_23c/ pṛthak pṛthak varga-padāni @viddhi buddhes vivṛddhis yadi te atra	Lit-_23c/ pRTak pRTak varga--padAni @vidDi budDeH vivRdDiH yadi te atra
   jātā//[upajāti]	jAta-a//[upajAti]
   Lil_23p/ nyāsas 4/ 9/ 81/ 196/ 88209/ 100100025/ labdhāni krameṇa mūlāni	Lit-_23p/ nyAsaH 4/ 9/ 81/ 196/ 88209/ 100100025/ labDAni krameNa mUlAni
   2/ 3/ 9/ 14/ 297/ 10005// iti varga-mūlam// atha ghanas/ ghane	2/ 3/ 9/ 14/ 297/ 10005// iti varga--mUlam-// aTa Ganas/ Gane
   karaṇa-sūtram vṛtta-%trayam/	karaNa-sUtram vRtta-%-trayam/
   Lil_24a/ sama-%tri-ghātas ca ghanas pradiṣṭas sthāpyas ghanas antyasya	Lin-_24a/ sama-%tri-GAtaH ca GanaH pradizwaH sTApyaH GanaH antyasya
   tatas antya-vargas/	tatas antya-varga-s/
   Lil_24c/ ādi-%tri-nighnas tatas ādi-vargas %tri-antya-āhatas atha	Lit-_24c/ Adi-%tri-niGnaH tatas Adi-vargaH %tri-anti-a-AhataH aTa
   ādi-ghanas ca sarve//[upajāti]	Adi-GanaH ca sarve//[upajAti]
   Lil_25a/ sthāna-antaratvena yutās ghanas @syāt @prakalpya	Lit-_25a/ sTAna--antara-tvena yutAH GanaH @syAt @prakalpya
   tad-khaṇḍa-#yugam tatas antyam/	tad--KaNxa--#yugam tatas antyam/
   Lil_25c/ evam muhus varga-ghana-prasiddhau ādya-aṅkatas vā vidhis eṣas	Lit-_25c/ evam muhur varga-Gana--prasidDO Adi-a--aFkataH vA viDiH ezaH-
   kāryas//[upajāti]	kArya-s//[upajAti]
   Lil_26a/ khaṇḍābhyām vā āhatas rāśis %tri-ghnas khaṇḍa-ghana-aikya-yuk/	Lit-_26a/ KaNxAByAm vE AhataH rASiH %tri-GnaH KaNxa--Gana--Ekya--yuk/
   Lil_26c/ varga-mūla-ghanas sva-ghnas varga-rāśes ghanas @bhavet//[śloka]	Lit-_26c/ varga--mUla-GanaH sva-GnaH varga-rASeH GanaH @Bavet//[Sloka]
   Lil_26p/ atra uddeśakas/	Lit-_26p/ atra uddeSakas/
   Lil_27a/ nava-ghanam %tri-ghanasya ghanam tathā @kathaya %pañca-ghanasya	Lit-_27a/ nava-Ganam %tri-Ganasya Ganam taTA @kaTaya %paQca-Ganasya
   ghanam ca me/	Ganam ca me/
   Lil_27c/ ghana-padam ca tatas api ghanāt sakhe yadi ghane @asti ghanā	Lit-_27c/ Gana-padam ca tatas api GanAt saKe yadi Gane @asti GanA
   bhavatas matis//[drutavilambita]	BavataH mati-s//[druta-vilambita]
   Lil_27p/ nyāsas 9/ 27/ 125/ jātās krameṇa ghanās 729/ 19683/ 1953125//	Lit-_27p/ nyAsaH 9/ 27/ 125/ jAtAH krameNa GanAH 729/ 19683/ 1953125//
   atha vā rāśis 9/ asya khaṇḍe 4/ 5/ ābhyām hatas rāśis 180/ %tri-ghnas 540/	aTa vA rASiH 9/ asya KaNxe 4/ 5/ AByAm hataH rASiH 180/ %tri-GnaH 540/
   khaṇḍa-ghana-aikyena 189 yutas jātas ghanas 729// atha vā rāśis 27/ asya	KaNxa--Gana--Ekyena 189 yutaH jAtaH GanaH 729// aTa vA rASiH 27/ asya
   khaṇḍe 20/ 7/ ābhyām hatas %tri-ghnas ca 11340/ khaṇḍa-ghana-aikyena 8343	KaNxe 20/ 7/ AByAm hataH %tri-GnaH ca 11340/ KaNxa--Gana--Ekyena 8343
   yutas jātas ghanas 19683// atha vā rāśis 4/ asya mūlam 2/ asya	yutaH jAtaH GanaH 19683// aTa vA rASiH 4/ asya mUlam 2/ asya
   ghanas 8/ ayam sva-ghnas jātas %carurṇām ghanas 64// atha vā rāśis 9/ asya	GanaH 8/ ayam sva-GnaH jAtaH %carurNAm GanaH 64// aTa vA rASiH 9/ asya
   mūlam 3/ asya ghanas 27/ asya vargas jātas %navānām ghanas 729/ yas eva	mUlam 3/ asya GanaH 27/ asya vargaH jAtaH %navAnAm GanaH 729/ yaH eva
   varga-rāśi-ghanas sas eva varga-mūla-ghana-vargas// iti ghanas// atha	varga-rASi--GanaH saH eva varga--mUla-Gana--vargas// iti Ganas// aTa
   ghana-mūle karaṇa-sūtram vṛtta-%dvayam/	Gana-mUle karaNa-sUtram vRtta-%-dvayam/
   Lil_28a/ ādyam ghana-sthānam atha aghane %dve punar tathā antyāt ghanatas	Lit-_28a/ Adyam Gana-sTAnam aTa aGane %dve punar taTA antyAt Ganatas
   @viśodhya/	@viSoDya/
   Lil_28c/ ghanam pṛthak-stham padam asya @kṛtvā %tri-ghnyā tad-ādyam	Lit-_28c/ Ganam pRTak-sTam padam asya @kRtvA %tri--GnyA tad--Adyam
   @vibhajet phalam tu//[upajāti]	@viBajet Palam tu//[upajAti]
   Lil_29a/ paṅktyām @nyaset tad-kṛtim antya-nighnīm %tri-ghnīm @tyajet	Lit-_29a/ paFktyAm @nyaset tad--kRtim antya-niGnIm %tri-GnIm @tyajet-
   tad-%prathamāt phalasya/	tat--%praTamAt Palasya/
   Lil_29c/ ghanam tad-ādyāt ghana-mūlam evam paṅktis @bhavet evam atas punar	Lit-_29c/ Ganam tad--AdyAt Gana-mUlam evam paFktiH @Bavet evam atas punar-
   ca//[upajāti]	ca//[upajAti]
   Lil_29p1/ atra pūrva-ghanānām mūla-artham nyāsas 729/ 19683/ 1953125/	Lit-_29p1/ atra pUrva-GanAnAm mUla-arTam nyAsaH 729/ 19683/ 1953125/
   krameṇa labdhāni mūlāni 9/ 27/ 125// iti ghana-mūlam// iti	krameNa labDAni mUlAni 9/ 27/ 125// iti Gana-mUlam-// iti
   parikarma-%aṣṭakam//	parikarma--%azwakam//
   [bhinna-parikarma-aṣṭaka]	[Binna--parikarma--azwaka]
   Lil_29p2/ atha bhinna-parikarma-%aṣṭakam// atha aṃśa-savarṇanam/ tatra	Lit-_29p2/ aTa Binna--parikarma--%azwakam// aTa aMSa--savarNa-nam/ tatra
   bhāga-jātau karaṇa-sūtram vṛttam/	BAga-jAtO karaNa-sUtram vRttam/
   Lil_30a/ anyonya-hāra-abhihatau hara-aṃśau rāśyos sama-cheda-vidhānam	Lit-_30a/ anyonya--hAra--aBihatO hara--aMSO rASyoH sama-Ceda--viDAnam
   evam/	evam/
   Lil_30c/ mithas harābhyām apavartitābhyām yat vā hara-aṃśau sudhiyā atra	Lit-_30c/ miTas harAByAm apavartitAByAm yat vA hara--aMSO suDiyA atra
   guṇyau//[upajāti]	guNyO//[upajAti]
   Lil_30p/ atra uddeśakas/	Lit-_30p/ atra uddeSakas/
   Lil_31a/ rūpa-%trayam %pañca-lavas %tri-bhāgas yoga-artham etān @vada	Lit-_31a/ rUpa-%trayam %paQca-lavaH %tri-BAgaH yoga--arTam etAn @vada
   tulya-hārān/	tulya-hArAn-/
   Lil_31c/ %triṣaṣṭi-bhāgas ca %caturdaśa-aṃśas sama-chidau mitra	Lit-_31c/ %trizazwi-BAgaH ca %caturdaSa--aMSaH sama-CidO mitra
   viyojana-artham// [upajāti]	viyojana--arTam// [upajAti]
   Lil_31p/ nyāsas/ 3_1/ 1_5/ 1_3/ jātās sama-chedās 45_15/ 3_15/ 5_15/ yoge	Lit-_31p/ nyAsas/ 3_1/ 1_5/ 1_3/ jAtAH sama-CedAH 45_15/ 3_15/ 5_15/ yoge
   jātam 53_15// atha %dvitīya-udāharaṇe nyāsas 1_63/ 1_14/	jAtam 53_15// aTa %dvitIya--udAharaNe nyAsaH 1_63/ 1_14/
   %sapta-apavartitābhyām hārābhyām 9/ 2 saṃguṇitau vā jātau sama-chedau	%sapta-apa-vartitAByAm hArAByAm 9/ 2 saMguNitO vA jAtO sama-CedO
   2_126/ 9_126/ viyoge jātam 7_126/ %sapta-apavartite ca jātam 1_18// iti	2_126/ 9_126/ viyoge jAtam 7_126/ %sapta-apa-vartite ca jAtam 1_18// iti
   bhāga-jātis// atha prabhāga-jātau karaṇa-sūtram vṛtta-%ardham/	BAga-jAti-s// aTa praBAga-jAtO karaNa-sUtram vRtta--%arDam/
   Lil_32/ lavās lava-ghnās ca harās hara-ghnās bhāga-prabhāgeṣu savarṇanam	Lit-_32/ lavAH lava--GnAH ca harAH hara-GnAH BAga--praBAgezu savarNanam
   @syāt/ [upajāti-ab; cd=34a]	@syAt/ [upajAti--ab; cd=34a]
   Lil_32p/ atra uddeśakas/	Lit-_32p/ atra uddeSakas/
   Lil_33a/ dramma-%ardha-%tri-lava-%dvayasya sumate #pāda-%trayam yat	Lit-_33a/ dramma-%arDa-%-tri-lava-%-dvayasya sumate #pAda-%-trayam yat-
   @bhavet tat %pañca-aṃśaka-%ṣoḍaśa-aṃśa-#caraṇas saṃprārthitena arthine/	@Bavet tat %paQca-aMSa-ka-%-zoxaSa--aMSa-#caraNaH saMprArTitena arTine/
   Lil_33c/ dattas yena varāṭakās kati kadaryeṇa arpitās tena me @brūhi tvam	Lit-_33c/ dattaH yena varAwakAH kati kadaryeNa arpitAH tena me @brUhi tvam
   yadi @vetsi vatsa gaṇite jātim prabhāga-abhidhām// [śārdūlavikrīḍita]	yadi @vetsi vatsa gaNite jAtim praBAga--aBiDAm// [SArdUla-vikrIxita]
   Lil_33p/ nyāsas/ 1_1/ 1_2/ 2_3/ 3_4/ 1_5/ 1_16/ 1_4/ savarṇite jātam	Lit-_33p/ nyAsas/ 1_1/ 1_2/ 2_3/ 3_4/ 1_5/ 1_16/ 1_4/ sa-varNite jAtam
