   atha kāvyā3darśaḥ	aTa kAvyA3darSaH
   sarga-bandha-samā eva % nai8te vai-śeṣikā guṇāḥ // 1.29 //	sarga-banDa--samAH eva % nE8te vE-SezikAH guNAH // 1.29 //
   kavi-bhāva-kṛtaṃ cihnam $ anya-trā7pi na duṣyati &	kavi-BAva--kRtam cihnam $ anya-trA7pi na duzyati &
   mukham iṣṭā1rtha-saṃ-siddhyai % kiṃ hi na syāt kṛtā3tmanām // 1.30 //	muKam izwa-a1rTa--saM-sidDyE % kim hi na syAt kRtA3tmanAm // 1.30 //
   miśrāṇi nāṭakā3dīni $ teṣām anya-tra vi-staraḥ &	miSrANi nAwakA3-dIni $ tezAm anya-tra vi-staraH &
   gadya-padya-mayī kā-cit % campūr ity abhi-dhīyate // 1.31 //	gadya-padya--mayI kA-cid % campUH iti aBi-DIyate // 1.31 //
   tad etad vāṅ-mayaṃ bhūyaḥ $ saṃs-kṛtaṃ prā-kṛtaṃ tathā &	tat etat vAF-mayam BUyas $ saMs-kRtam prA--kRtam taTA &
   apa-bhraṃśaś ca miśraṃ ce7ty % āhur āryāś catur-vi-dham // 1.32 //	apa-BraMSaH ca miSram ce7ti % AhuH AryAH catur-vi-Dam // 1.32 //
   saṃs-kṛtaṃ nāma daivī vāg $ anv-ā-khyātā maha-rṣibhiḥ &	saMs-kRtam nAma dEvI vAc $ anv-A-KyAtAH maha-RziBiH &
   tad-bhavas tat-samo deśī9ty % anekaḥ prā-kṛta-kramaḥ // 1.33 //	tad--BavaH tat-samaH deSI9ti % anekaH prA-kRta--kramaH // 1.33 //
   mahā-rāṣṭrā3śrayāṃ bhāṣāṃ $ pra-kṛṣṭaṃ prā-kṛtaṃ viduḥ &	mahA-rAzwrA3SrayAm BAzAm $ pra-kRzwam prA--kRtam viduH &
   sāgaraḥ sū1kti-ratnānāṃ % setu-bandhā3di yan-mayam // 1.34 //	sAgaraH sU1kti-ratnAnAm % setu-banDA3di yan-mayam // 1.34 //
   śaura-senī ca gauḍī ca $ lāṭī cā7nyā ca tā-dṛśī &	SOra-senI ca gOxI ca $ lAwI ca-a7nyA ca tA-dRSI &
   yāti prā-kṛtam ity evaṃ % vy-ava-hāreṣu saṃ-nidhim // 1.35 //	yAti prA-kRtam iti evam % vy-ava-hArezu saM-niDim // 1.35 //
   ābhīrā3di-giraḥ kāvyeṣv $ apa-bhraṃśa iti smṛtāḥ &	ABIrA3di-giraH kAvyezu $ apa-BraMSaH iti smRtAH &
   śāstreṣu saṃs-kṛtād anyad % apa-bhraṃśa-tayo9ditam // 1.36 //	SAstrezu saMs-kRtAt anyat % apa-BraMSa-tayA-u9ditam // 1.36 //
   saṃs-kṛtaṃ sarga-bandhā3di $ prā-kṛtaṃ skandhakā3dikam &	saMs-kRtam sarga-banDA3di $ prA--kRtam skanDakA3dikam &
   osarā3dīny apa-bhraṃśo % nāṭakā3di tu miśrakam // 1.37 //	osarA3dIni apa-BraMSaH % nAwakA3di tu miSrakam // 1.37 //
   kathā9pi sarva-bhāṣābhiḥ $ saṃs-kṛtena ca badhyate &	kaTA-a9pi sarva-BAzABiH $ saMs-kRtena ca baDyate &
   bhūta-bhāṣā-mayīṃ prā3hur % adbhutā1rthāṃ bṛhat-kathām // 1.38 //	BUta-BAzA--mayIm prA3huH % adButa-a1rTAm bRhat--kaTAm // 1.38 //
   lāsya-cchalita-śamyā4di $ pre3kṣā2rtham itarat punaḥ &	lAsya-=-Calita-SamyA4di $ pre3kzA2rTam itarat punar &
   śravyam eve7ti sai0ṣā9pi % dvayī gatir ud-ā-hṛtā // 1.39 //	Sravyam eva-i7ti sE0zA9pi % dvayI gatiH ud-A--hRtA // 1.39 //
   asty an-eko girāṃ mārgaḥ $ sūkṣma-bhedaḥ paras-param &	asti an-ekaH girAm mArgaH $ sUkzma-BedaH para-s--param &
   tatra vaidarbha-gauḍīyau % varṇyete pra-sphuṭā1ntarau // 1.40 //	tatra vEdarBa--gOxIyO % varNyete pra-sPuwa-a1ntarO // 1.40 //
   śleṣaḥ pra-sādaḥ sama-tā $ mādhuryaṃ su-kumāra-tā &	SlezaH pra-sAdaH sama-tA $ mADuryam su-kumAra-tAH &
   artha-vyaktir ud-āra-tvaṃ % ojaḥ-kānti-samādhayaḥ // 1.41 //	arTa-vyaktiH ud-Ara--tvam % ojaH--kAnti--samADayaH // 1.41 //
   iti vaidarbha-mārgasya $ prā3ṇā daśa guṇāḥ smṛtāḥ &	iti vEdarBa--mArgasya $ prA3NAH daSa guNAH smRtAH &
   eṣāṃ vi-pary-ayaḥ prā1yo % lakṣyate gauḍa-vartmani // 1.42 //	ezAm vi-pary-ayaH prA1yaH % lakzyate gOxa--vartmani // 1.42 //
   [śleṣa vs. śithila]	[Sleza vs. SiTila]
   śliṣṭam a-spṛṣṭa-śaithilyam $ alpa-prā3ṇā3kṣaro3ttaram &	Slizwam a-spRzwa--SETilyam $ alpa--prA3NA3kzaraH-3ttaram &
   śithilaṃ mālatī-mālā % lolā1li-kalilā yathā // 1.43 //	SiTilam mAlatI--mAlA % lola-a1li--kalilAH yaTA // 1.43 //
   anu-prā1sa-dhiyā gauḍais $ tad iṣṭaṃ bandha-gauravāt &	anu-prA1-sa-DiyA gOxEH $ tat izwam banDa--gOravAt &
   vaidarbhair mālatī-dāma % laṅghitaṃ bhramarair iti // 1.44 //	vEdarBEH mAlatI-dAmaH % laFGitam BramarEH iti // 1.44 //
   [prasāda vs. vyutpanna]	[prasAda vs. vyutpanna]
   pra-sāda-vat pra-siddhā1rtham $ indor indī-vara-dyuti &	pra-sAda-vat pra-sidDa-A1rTam $ indoH indI-vara-dyuti &
   lakṣma lakṣmīṃ tanotī7ti % pratī1ti-su-bhagaṃ vacaḥ // 1.45 //	lakzma lakzmIm tanotI7ti % pratI1ti--su-Bagam vacaH // 1.45 //
   vy-ut-pannam iti gauḍīyair $ nā1ti-rūḍham apī7ṣyate &	vy-ut-pannam iti gOxIyEH $ na-a1ti-rUXam api-I7zyate &
   yathā7n-aty-arjunā3b-janma- % sa-dṛkṣā3ṅko balakṣa-guḥ // 1.46 //	yaTA7n-ati--arjunA3-b-jan-ma % sa-dRkzA-a3FkaH balakza-guH // 1.46 //
   [samatā vs. vaiṣamya]	[samatA vs. vEzamya]
   samaṃ bandheṣv a-vi-ṣamaṃ $ te mṛdu-sphuṭa-madhyamāḥ &	samam banDezu a-vi-zamam $ te mRdu--sPuwa--maDyamAH &
   bandhā mṛdu-sphuṭo3n-miśra- % varṇa-vi-ny-āsa-yonayaḥ // 1.47 //	banDAH mRdu--sPuwaH-3n-miSra % varNa--vi-ni--Asa--yonayaH // 1.47 //
   kokilā3-lāpa-vācālo $ mām eti malayā3nilaḥ &	kokilA-a3-lA-apa-vAcAlaH $ mAm eti malayA3nilaH &
   uc-chalac-chīkarā3cchā3ccha- % nir-jharā3mbhaḥ-kaṇo3kṣitaḥ // 1.48 //	uc--Calac--SIka-rA3=-CA3cCa % nir-Jara-a3mBaH--kaNA-u3kzitaH // 1.48 //
   candana-pra-ṇayo3d-gandhir $ mando malaya-mārutaḥ &	candana--pra-Na-yo3d-ganDiH $ mandaH malaya--mArutaH &
   spardhate ruddha-mad-dhairyo % vara-rāmā-mukhā1nilaiḥ // 1.49 //	sparDate rudDa--mad--DEryaH % vara--rAmA--muKa-a1nilEH // 1.49 //
   ity an-ā-locya vai-ṣamyam $ arthā1laṃ-kāra-ḍambarau &	iti an-A--locya vE-zamyam $ arTa-a1laM-kAra--xambarO &
   ape3kṣamāṇā vavṛdhe % paurastyā kāvya-paddhatiḥ // 1.50 //	ape3kzamANA vavRDe % pOrastyA kAvya-padDatiH // 1.50 //
   [mādhurya]	[mADurya]
   madhuraṃ rasa-vad vāci $ vastuny api rasa-sthitiḥ &	maDuram rasa-vat vAci $ vastuni api rasa--sTitiH &
   yena mādhyanti dhīmanto % madhune9va madhu-vratāḥ // 1.51 //	yena mADyanti DImantaH % maDune9va maDu-vratAH // 1.51 //
   [(1.) anuprāsa (śabdālaṃkāra) vs. varṇāvṛtti]	[(1.) anuprAsa (Sabda-alaMkAra) vs. varNa-AvRtti]
   yayā kayā-cic chrutyā yat $ samānam anu-bhūyate &	yayA kayA-cid SrutyA yat $ samAnam anu-BUyate &
   tad-rūpā hi padā3-sattiḥ % sā3nu-prā3sā rasā3-vahā // 1.52 //	tad--rUpA hi padA3-sattiH % sA3nu-prA3sA rasA3-vahAH // 1.52 //
   eṣa rājā yadā lakṣmīṃ $ prā3pta-vān brahmaṇa-priyaḥ &	eza rAjA yadA lakzmIm $ prA3pta-vAn brahmaNa-priyaH &
   tataḥ pra-bhṛti dharmasya % loke 'sminn utsavo 'bhavat // 1.53 //	tatas pra-BRti Darmasya % loke asmin utsavaH aBavat // 1.53 //
   itī7daṃ nā8dṛtaṃ gauḍair $ anu-prā3sas tu tat-priyaḥ &	iti-i7dam na-a8dRtam gOxEH $ anu-prA3saH tu tat-priyaH &
   anu-prā3sād api prā3yo % vaidarbhair idam iṣyate // 1.54 //	anu-prA3sAt api prA3yaH % vEdarBEH idam izyate // 1.54 //
   varṇā3vṛttir anu-prā1saḥ $ pādeṣu ca padeṣu ca &	varNA3-vRttiH anu-prA1saH $ pAdezu ca padezu ca &
   pūrvā3nu-bhava-saṃs-kāra- % bodhinī yady a-dūra-tā // 1.55 //	pUrva-a3nu-Bava--saMs-kAra % boDinI yadi a-dUra-tA // 1.55 //
   candre śaran-niśo2t-taṃse $ kunda-stavaka-vi-bhrame &	candre Saran--niSo2t-taMse $ kunda-stavaka-vi-Brame &
   indra-nīla-ni-bhaṃ lakṣma % saṃ-dadhāty anilaḥ śriyam // 1.56 //	indra--nIla--ni-Bam lakzma % saM-daDAti anilaH Sriyam // 1.56 //
   cāru candramasaṃ bhīru $ bimbaṃ paśyai8tad ambare &	cAru candramasam BIru $ bimbam paSyE8-tat ambare &
   manmano manmathā3-krāntaṃ % nir-dayaṃ hantum ud-yatam // 1.57 //	mad-manaH manmaTA3-krAntam % nir-dayam hantum ud-yatam // 1.57 //
   ity anu-prā1sam icchanti $ nā7ti-dūrā1ntara-śrutim &	iti anu-prA1sam icCanti $ na-a7ti-dUra-a1ntara--Srutim &
   na tu rāmā-mukhā1mbho-ja- % sa-dṛśaś candramā iti // 1.58 //	na tu rAmA--muKa-a1mBo--ja % sa-dRSaH candramAH iti // 1.58 //
   smaraḥ kharaḥ khalaḥ kāntaḥ $ kāyaḥ kopaś ca naḥ kṛśaḥ &	smaraH KaraH KalaH kAntaH $ kAyaH kopaH ca naH kRSaH &
   cyuto māno 'dhiko rāgo % moho jāto 'savo gatāḥ // 1.59 //	cyutaH mAnaH aDikaH rAgaH % mohaH jAtaH asavaH gatAH // 1.59 //
   ity ādi bandha-pāruṣyaṃ $ śaithilyaṃ ca ni-gacchati &	iti Adi banDa--pAruzyam $ SETilyam ca ni-gacCati &
   ato nai8vam anu-prā3saṃ % dākṣinātyāḥ pra-yuñjate // 1.60 //	atas nE8vam anu-prA3sam % dAkzinAtyAH pra-yuQjate // 1.60 //
   [(2.) yamaka (śabdālaṃkāra; Vw.)]	[(2.) yamakaH (Sabda-alaMkAra; Vw.)]
   ā-vṛttiṃ varṇa-saṃ-ghāta- $ gocarāṃ yamakaṃ viduḥ &	A-vRttim varNa--saM-GAta $ gocarAm yamakam viduH &
   tat tu nai8kā3nta-madhuram % ataḥ paścād vi-dhāsyate // 1.61 //	tat tu nE8ka-a3nta--maDuram % atas paScAt vi-DAsyate // 1.61 //
   [(3.) agrāmyatā (arthālaṃkāra) vs. grāmyatā]	[(3.) agrAmya-tA (arTa-alaMkAra) vs. grAmyatA]
   kāmaṃ sarvo 'py alaṃ-kāro $ rasam arthe ni-ṣañcati &	kAmam sarvaH api alaM-kAraH $ rasam arTe ni-zaQcati &
   tathā9py a-grāmya-tai0vai8taṃ % bhāraṃ vahati bhūyasā // 1.62 //	taTA-a9pi a-grAmya-tE0vE8tam % BAram vahati BUyasA // 1.62 //
   kanye kāmayamānaṃ māṃ $ na tvaṃ kāmayase katham &	kanye kAmayamAnam mAm $ na tvam kAmayase kaTam &
   iti grāmyo 'yam arthā3tmā % vai-rasyāya pra-kalpate // 1.63 //	iti grAmyaH ayam arTa-A3tmA % vE-rasyAya pra-kalpate // 1.63 //
   kāmaṃ kandarpa-cāṇḍālo $ mayi vāmā1kṣi nir-dayaḥ &	kAmam kandarpa-cANxAlaH $ mayi vAma-a1kzi nir-dayaH &
   tvayi nir-mat-saro diṣṭye9ty % a-grāmyo 'rtho rasā3-vahaḥ // 1.64 //	tvayi nir-mat--saraH dizwye9ti % a-grAmyaH arTaH rasA3-vahaH // 1.64 //
   śabde 'pi grāmya-tā9sty eva $ sā sabhye1tara-kīrtanāt &	Sabde api grAmya-tA9sti eva $ sA saBye1tara--kIrtanAt &
   yathā ya-kārā3di-padaṃ % raty-ut-sava-ni-rūpaṇe // 1.65 //	yaTA ya-kArA3di-padam % rati--ut--sa-va--ni-rUpaNe // 1.65 //
   pada-saṃ-dhāna-vṛttyā vā $ vākyā1rtha-tvena vā punaḥ &	pada--saM-DAna--vRttyA vA $ vAkya-a1rTa-tvena vA punar &
   duṣ-pratī1ti-karaṃ grāmyaṃ % yathā yā bhavataḥ priyā // 1.66 //	duz-pratI1ti-karam grAmyam % yaTA yA BavataH priyA // 1.66 //
   kharaṃ pra-hṛtya vi-śrāntaḥ $ puruṣo vīrya-vān iti &	Karam pra-hRtya vi-SrAntaH $ puruzaH vIrya-vAn iti &
   evam ādi na śaṃsanti % mārgayor ubhayor api // 1.67 //	evam Adi na SaMsanti % mArgayoH uBayoH api // 1.67 //
   bhaginī-bhaga-vaty-ādi $ sarva-trai8vā7nu-manyate &	BaginI--Baga-vatI--Adi $ sarva--trE8vA7nu-manyate &
   vi-bhaktam iti mādhuryam % ucyate su-kumāra-tā // 1.68 //	vi-Baktam iti mADuryam % ucyate su-kumAra-tAH // 1.68 //
   [sukumāratā vs. dīpta]	[sukumAra-tA vs. dIpta]
   a-ni-ṣṭhurā1kṣara-prā1yaṃ $ su-kumāram ihe7ṣyate &	a-ni-zWuH-A1kzara--prA1yam $ su--kumAram iha-i7zyate &
   bandha-śaithilya-doṣas tu % darśitaḥ sarva-komale // 1.69 //	banDa--SETilya-dozaH tu % darSitaH sarva-komale // 1.69 //
   maṇḍalī-kṛtya barhāṇi $ kaṇṭhair madhura-gītibhiḥ &	maNxalI-kRtya barhANi $ kaNWEH maDura--gItiBiH &
   kalā4pinaḥ pra-nṛtyanti % kāle jīmūta-mālini // 1.70 //	kalA4pinaH pra-nRtyanti % kAle jImUta-mAlini // 1.70 //
   ity an-ūrjita evā7rtho $ nā7laṃ-kāro 'pi tā-dṛśaḥ &	iti an-UrjitaH eva-a7rTaH $ na-a7laM-kAraH api tA-dRSaH &
   su-kumāra-tayai0vai0tad % ā-rohati satāṃ manaḥ // 1.71 //	su-kumAra--tayA-e0vE0-tat % A-rohati satAm manaH // 1.71 //
   dīptam ity aparair bhūmnā $ kṛcchro1dyam api badhyate &	dIptam iti aparEH BUmnA $ kRcCra-u1dyam api baDyate &
   ny-akṣeṇa kṣayitaḥ pakṣaḥ % kṣatriyāṇāṃ kṣaṇād iti // 1.72 //	ny-akzeNa kzayitaH pakzaH % kzatriyANAm kzaNAt iti // 1.72 //
   [arthavyakti vs. neyatva]	[arTa-vyakti vs. neyatva]
   artha-vyaktir a-neya-tvam $ arthasya hariṇo9d-dhṛtā &	arTa--vyaktiH a-neya--tvam $ arTasya hariNo9d--DRtA &
   bhūḥ khura-kṣuṇṇa-nāgā1sṛg- % lohitād uda-dher iti // 1.73 //	BUH Kura-kzuNNa-nAgA1-sRg % lohitAt uda-DeH iti // 1.73 //
   mahī mahā-varāheṇa $ lohitād ud-dhṛto9da-dheḥ &	mahI mahA-varAheNa $ lohitAt ud-DRto9da-DeH &
   itī1yaty eva nir-diṣṭe % neya-tvam ura-gā1sṛjaḥ // 1.74 //	iti-I1yati eva nir-dizwe % na-iya-tvam ura-gA1sRjaH // 1.74 //
   ne8dṛśaṃ bahu manyate $ mārgayor ubhayor api &	ne8dRSam bahu manyate $ mArgayoH uBayoH api &
   na hi pratī1tiḥ su-bhagā % śabda-ny-āya-vi-laṅghinī // 1.75 //	na hi pratI1tiH su-BagA % Sabda-ny-Aya--vi-laFGinI // 1.75 //
   [udāratvam]	[udAra-tvam]
   ut-karṣa-vān guṇaḥ kaś-cid $ yasminn ukte pratī1yate &	ut-karza-vAn guNaH kaS-cid $ yasmin ukte pratI1yate &
   tad-ud-ārā3-hvayaṃ tena % sa-nāthā kāvya-pad-dhatiḥ // 1.76 //	tat--ud-ArA3--hvayam tena % sa-nATA kAvya-pad-DatiH // 1.76 //
   arthināṃ kṛpaṇā dṛṣṭis $ tvan-mukhe patitā sa-kṛt &	arTinAm kRpaNA dRzwiH $ tu-an-muKe patitA sa-kRt &
   tad-ava-sthā punar deva % nā7nyasya mukham īkṣate // 1.77 //	tad--ava-sTA punar deva % na-a7nyasya muKam Ikzate // 1.77 //
   iti tyāgasya vākye 'sminn $ ut-karṣaḥ sādhu lakṣyate &	iti tyAgasya vAkye asmin $ ut-karzaH sADu lakzyate &
   anenai8va pathā9nya-tra % samāna-ny-āyam ūhyatām // 1.78 //	anena-e8va paTA9-nya-tra % samAna--ny-Ayam UhyatAm // 1.78 //
   ślāghyair vi-śeṣaṇair yuktam $ ud-āraṃ kaiś-cid iṣyate &	SlAGyEH vi-SezaNEH yuktam $ ud-Aram kES-cid izyate &
   yathā līlā1mbu-ja-krīḍā- % saro-hemā1ṅgadā3dayaḥ // 1.79 //	yaTA lIlA-a1mbu-ja--krIxA % saro--hema-a1FgadA3dayaH // 1.79 //
   [ojas]	[ojas]
   ojaḥ sam-āsa-bhūyas-tvam $ etad gadyasya jīvitam &	ojaH sam-Asa-BUya-s-tvam $ etat gadyasya jIvitam &
   padye 'py a-dākṣiṇātyānām % idam ekaṃ parā1yaṇam // 1.80 //	padye api a-da-akziNAtyAnAm % idam ekam parA1yaNam // 1.80 //
